State,County,UID,FIPS,Lat,Long,Date,#Covid_cases
Colorado,Pitkin,84008097,8097.0,39.21720112,-106.9310027,2020-01-31,0
Colorado,Prowers,84008099,8099.0,37.95544985,-102.3926052,2020-01-31,0
Colorado,Pueblo,84008101,8101.0,38.17359144,-104.5127437,2020-01-31,0
Colorado,Rio Blanco,84008103,8103.0,39.97913541,-108.2179009,2020-01-31,0
Colorado,Rio Grande,84008105,8105.0,37.5836865,-106.3847838,2020-01-31,0
Colorado,Routt,84008107,8107.0,40.48596505,-106.9905548,2020-01-31,0
Colorado,Saguache,84008109,8109.0,38.08054629,-106.28246599999999,2020-01-31,0
Colorado,San Juan,84008111,8111.0,37.76248981,-107.67632890000002,2020-01-31,0
Colorado,San Miguel,84008113,8113.0,38.00450883,-108.4020725,2020-01-31,0
Colorado,Sedgwick,84008115,8115.0,40.87595412,-102.3519227,2020-01-31,0
Colorado,Summit,84008117,8117.0,39.63803232,-106.1150762,2020-01-31,0
Colorado,Teller,84008119,8119.0,38.88133511,-105.16148929999999,2020-01-31,0
Colorado,Unassigned,84090008,90008.0,0.0,0.0,2020-01-31,0
Colorado,Washington,84008121,8121.0,39.97015535,-103.202587,2020-01-31,0
Colorado,Weld,84008123,8123.0,40.55499405,-104.39296209999999,2020-01-31,0
Colorado,Yuma,84008125,8125.0,40.00346839,-102.4258673,2020-01-31,0
Texas,Anderson,84048001,48001.0,31.81534745,-95.65354823,2020-01-31,0
Texas,Andrews,84048003,48003.0,32.30468633,-102.63765479999999,2020-01-31,0
Texas,Angelina,84048005,48005.0,31.25457347,-94.60901487,2020-01-31,0
Texas,Aransas,84048007,48007.0,28.10556197,-96.9995047,2020-01-31,0
Texas,Archer,84048009,48009.0,33.61569967,-98.68754589,2020-01-31,0
Texas,Armstrong,84048011,48011.0,34.96507426,-101.35748740000001,2020-01-31,0
Texas,Atascosa,84048013,48013.0,28.89333001,-98.52730485,2020-01-31,0
Texas,Austin,84048015,48015.0,29.88548725,-96.27736949,2020-01-31,0
Texas,Bailey,84048017,48017.0,34.06854817,-102.8299707,2020-01-31,0
